# This file contains the peak energy deposition density for each cube in the detector array.
# Each line corresponds to one cube, with the following format: (x, y, z, peak energy deposition density)
# x, y, z: The coordinates of the cube in the detector array
# peak energy deposition density: The maximum energy deposition density in the cube, in units of J/g
# this is for a 100mm X 100mm X 200mm lXe Target. Each cube is 10mm X 10mm X 10mm
x	y	z	peak_energy_deposition_density
1.0	8.0	18.0	1.417859876931457e-11
1.0	8.0	19.0	1.3020809040852735e-11
1.0	8.0	20.0	1.3268224372166738e-11
1.0	9.0	0.0	2.0713213516631099e-13
1.0	9.0	1.0	3.6971374269544235e-13
1.0	9.0	2.0	4.2474667996768556e-13
1.0	9.0	3.0	6.317455990027823e-13
1.0	9.0	4.0	7.924633558233829e-13
1.0	9.0	5.0	9.30732837160341e-13
1.0	9.0	6.0	1.7457077154344191e-12
1.0	9.0	7.0	1.6368808595847872e-12
1.0	9.0	8.0	2.9035284742000636e-12
1.0	9.0	9.0	2.2034273312696212e-12
1.0	9.0	10.0	3.396039786705675e-12
1.0	9.0	11.0	4.210811915630509e-12
1.0	9.0	12.0	5.436246039974496e-12
1.0	9.0	13.0	6.408193047883584e-12
1.0	9.0	14.0	7.520210136747664e-12
1.0	9.0	15.0	7.421472332893668e-12
1.0	9.0	16.0	9.343685920313601e-12
1.0	9.0	17.0	9.60077240067033e-12
1.0	9.0	18.0	9.71362596918358e-12
1.0	9.0	19.0	1.1928334481678469e-11
1.0	9.0	20.0	1.0663275365839852e-11
1.0	10.0	0.0	1.5607791676793587e-13
1.0	10.0	1.0	1.0940387458292892e-13
1.0	10.0	2.0	1.8299513528989808e-13
1.0	10.0	3.0	7.102228685324889e-13
1.0	10.0	4.0	3.9597357230175236e-13
1.0	10.0	5.0	8.536957303512573e-13
1.0	10.0	6.0	1.7837032135361029e-12
1.0	10.0	7.0	1.0303919204664168e-12
1.0	10.0	8.0	1.7737425096155914e-12
1.0	10.0	9.0	1.5681655671042842e-12
1.0	10.0	10.0	3.3968381584299204e-12
1.0	10.0	11.0	3.366325471071213e-12
1.0	10.0	12.0	3.6724799475467266e-12
1.0	10.0	13.0	2.7980385543120498e-12
1.0	10.0	14.0	3.959178996532208e-12
1.0	10.0	15.0	4.830339905926567e-12
1.0	10.0	16.0	6.25098063054644e-12
1.0	10.0	17.0	6.788533999382469e-12
