#BLTrackFile VirtualDetector/DetSideways
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
7952.29 6063.1 608.893 1.11995 0.850374 -0.0544518 36.694 22 21 7085 7021 1
6635.43 7481.38 793.004 0.18323 0.203876 -0.0075602 37.0101 22 21 7366 7277 1
-3625.63 9319.59 1942.24 -0.188302 0.483808 0.0504411 36.8109 22 21 16360 16334 1
3110.02 9504.09 1601.05 1.43828 4.4091 0.242056 37.2129 -11 21 18530 18529 1
-3235.42 9462.14 1048.12 -0.111994 0.333008 0.00174678 36.7951 22 21 20554 20529 1
9974.53 713.299 679.93 0.597302 0.0429705 -0.019581 37.0357 22 21 24282 24281 1
-1803.63 -9836 1692.33 -0.0762649 -0.417185 0.0260679 37.0196 22 21 24420 24281 1
4478.09 -8941.29 694.265 1.20788 -2.42883 -0.0962405 36.8961 22 21 31886 31861 1
-8380.06 -5456.62 717.043 -0.811865 -0.527124 -0.0323784 36.8913 22 21 35925 35900 1
7342.98 -6788.27 713.501 0.908292 -0.833647 -0.04344 36.9488 22 22 3927 3780 1
-9491.31 -3148.8 1402.56 -0.28821 -0.0958995 0.0122355 36.8443 22 22 5397 5368 1
-9988.89 471.21 440.181 -0.744807 0.0349362 -0.0426137 36.7807 22 22 5679 5626 1
-9735.68 -2283.98 205.321 -1.13116 -0.270695 -0.101152 37.0623 22 22 7254 7252 1
9697.75 2440.02 380.865 0.462071 0.114761 -0.0292988 36.7567 22 22 10905 10904 1
6366.68 -7711.38 918.959 1.13115 -1.35584 -0.00981503 36.9641 22 22 15718 15613 1
3805.96 -9247.41 524.49 0.111874 -0.269428 -0.0157391 37.0261 22 22 16164 15968 1
-855.448 9963.34 268.993 -0.10791 1.25251 -0.0940097 36.753 22 22 21115 21090 1
9954.14 -956.587 1138.54 6.62888 -0.639461 0.0396802 37.0276 11 23 3481 3479 1
-9590.21 2833.36 934.327 -21.4092 6.29788 -0.130184 1411.45 2112 23 9755 9739 1
-7503.72 -6610.16 760.368 -0.399279 -0.3513 -0.0130993 36.7504 22 23 12085 12084 1
9831.95 1825.58 1155.55 0.325927 0.0612044 0.00548869 36.8719 22 23 13022 13021 1
129.17 -9999.17 1323.11 0.0633029 -5.61039 0.13713 37.0781 -11 23 19518 19517 1
-8211.29 5707.42 1344.13 -2.48483 1.72494 0.112592 36.6345 22 23 22073 21943 1
-8158.75 5782.28 1825.22 -0.309372 0.220172 0.0286517 37.0345 22 24 2443 2420 1
-9999.69 79.1862 1156.17 -2.91152 0.0208048 0.0433589 36.7312 22 24 5386 5293 1
-9787.23 -2051.88 524.28 -1.70049 -0.35725 -0.0925353 36.9217 22 24 9363 9344 1
4579.45 8889.81 1566.69 0.186807 0.362421 0.0200358 36.9889 22 24 10337 10336 1
-8582.34 5132.58 454.353 -0.615655 0.368037 -0.0416742 36.8468 22 24 10718 10573 1
-2349.94 9719.97 1102.52 -0.255817 1.05554 0.0100111 36.7634 22 24 10951 10921 1
